cveID,vendorProject,product,vulnerabilityName,dateAdded,shortDescription,requiredAction,dueDate,knownRansomwareCampaignUse,notes,cwes
CVE-2022-3236	Sophos	Firewall	"Sophos Firewall Code Injection Vulnerability"	2022-09-23	"A code injection vulnerability in the User Portal and Webadmin of Sophos Firewall allows for remote code execution."	"Apply updates per vendor instructions."	2022-10-14	Unknown	"https://www.sophos.com/en-us/security-advisories/sophos-sa-20220923-sfos-rce;  https://nvd.nist.gov/vuln/detail/CVE-2022-3236"	CWE-94
CVE-2022-35405	Zoho	ManageEngine	"Zoho ManageEngine Multiple Products Remote Code Execution Vulnerability"	2022-09-22	"Zoho ManageEngine PAM360	 Password Manager Pro	 and Access Manager Plus contain an unspecified vulnerability that allows for remote code execution."	"Apply updates per vendor instructions."	2022-10-13	Unknown,"https://www.manageengine.com/products/passwordmanagerpro/advisory/cve-2022-35405.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-35405",CWE-502
CVE-2022-40139	"Trend Micro"	"Apex One and Apex One as a Service"	"Trend Micro Apex One and Apex One as a Service Improper Validation Vulnerability"	2022-09-15	"Trend Micro Apex One and Apex One as a Service contain an improper validation of rollback mechanism components that could lead to remote code execution."	"Apply updates per vendor instructions."	2022-10-06	Unknown	"https://success.trendmicro.com/dcx/s/solution/000291528?language=en_US;  https://nvd.nist.gov/vuln/detail/CVE-2022-40139"	"CWE-353, CWE-641"
CVE-2022-37969	Microsoft	Windows	"Microsoft Windows Common Log File System (CLFS) Driver Privilege Escalation Vulnerability"	2022-09-14	"Microsoft Windows Common Log File System (CLFS) driver contains an unspecified vulnerability that allows for privilege escalation."	"Apply updates per vendor instructions."	2022-10-05	Unknown	"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-37969;  https://nvd.nist.gov/vuln/detail/CVE-2022-37969"	"CWE-20, CWE-787"
CVE-2022-32917	Apple	"iOS	 iPadOS	 and macOS"	"Apple iOS	 iPadOS	 and macOS Remote Code Execution Vulnerability"	2022-09-14	"Apple kernel	 which is included in iOS, iPadOS, and macOS, contains an unspecified vulnerability where an application may be able to execute code with kernel privileges.","Apply updates per vendor instructions.",2022-10-05,Unknown,"https://support.apple.com/en-us/HT213445, https://support.apple.com/en-us/HT213444;  https://nvd.nist.gov/vuln/detail/CVE-2022-32917","CWE-20, CWE-787"
CVE-2022-3075	Google	"Chromium Mojo"	"Google Chromium Mojo Insufficient Data Validation Vulnerability"	2022-09-08	"Google Chromium Mojo contains an insufficient data validation vulnerability that allows a remote attacker	 who has compromised the renderer process	 to potentially perform a sandbox escape via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome, Microsoft Edge, and Opera.","Apply updates per vendor instructions.",2022-09-29,Unknown,"https://chromereleases.googleblog.com/2022/09/stable-channel-update-for-desktop.html, https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-3075;  https://nvd.nist.gov/vuln/detail/CVE-2022-3075",CWE-20
CVE-2022-27593	QNAP	"Photo Station"	"QNAP Photo Station Externally Controlled Reference Vulnerability"	2022-09-08	"Certain QNAP NAS running Photo Station with internet exposure contain an externally controlled reference to a resource vulnerability which can allow an attacker to modify system files. This vulnerability was observed being utilized in a Deadbolt ransomware campaign."	"Apply updates per vendor instructions."	2022-09-29	Known	"https://www.qnap.com/en/security-advisory/qsa-22-24;  https://nvd.nist.gov/vuln/detail/CVE-2022-27593"	CWE-610
CVE-2022-26258	D-Link	DIR-820L	"D-Link DIR-820L Remote Code Execution Vulnerability"	2022-09-08	"D-Link DIR-820L contains an unspecified vulnerability in Device Name parameter in /lan.asp which allows for remote code execution."	"The impacted product is end-of-life and should be disconnected if still in use."	2022-09-29	Unknown	"https://supportannouncement.us.dlink.com/announcement/publication.aspx?name=SAP10295;  https://nvd.nist.gov/vuln/detail/CVE-2022-26258"	CWE-78
CVE-2022-26352	dotCMS	dotCMS	"dotCMS Unrestricted Upload of File Vulnerability"	2022-08-25	"dotCMS ContentResource API contains an unrestricted upload of file with a dangerous type vulnerability that allows for directory traversal	 in which the file is saved outside of the intended storage location. Exploitation allows for remote code execution."	"Apply updates per vendor instructions."	2022-09-15	Known	"https://www.dotcms.com/security/SI-62;  https://nvd.nist.gov/vuln/detail/CVE-2022-26352","CWE-22, CWE-138"
CVE-2022-24706	Apache	CouchDB	"Apache CouchDB Insecure Default Initialization of Resource Vulnerability"	2022-08-25	"Apache CouchDB contains an insecure default initialization of resource vulnerability which can allow an attacker to escalate to administrative privileges."	"Apply updates per vendor instructions."	2022-09-15	Unknown	"https://lists.apache.org/thread/w24wo0h8nlctfps65txvk0oc5hdcnv00;  https://nvd.nist.gov/vuln/detail/CVE-2022-24706"	CWE-1188
CVE-2022-24112	Apache	APISIX	"Apache APISIX Authentication Bypass Vulnerability"	2022-08-25	"Apache APISIX contains an authentication bypass vulnerability that allows for remote code execution."	"Apply updates per vendor instructions."	2022-09-15	Unknown	"https://lists.apache.org/thread/lcdqywz8zy94mdysk7p3gfdgn51jmt94;  https://nvd.nist.gov/vuln/detail/CVE-2022-24112"	CWE-290
CVE-2022-22963	"VMware Tanzu"	"Spring Cloud"	"VMware Tanzu Spring Cloud Function Remote Code Execution Vulnerability"	2022-08-25	"When using routing functionality in VMware Tanzu's Spring Cloud Function	 it is possible for a user to provide a specially crafted SpEL as a routing-expression that may result in remote code execution and access to local resources."	"Apply updates per vendor instructions."	2022-09-15	Unknown	"https://tanzu.vmware.com/security/cve-2022-22963;  https://nvd.nist.gov/vuln/detail/CVE-2022-22963",CWE-94
CVE-2022-2294	WebRTC	WebRTC	"WebRTC Heap Buffer Overflow Vulnerability"	2022-08-25	"WebRTC	 an open-source project providing web browsers with real-time communication	 contains a heap buffer overflow vulnerability that allows an attacker to perform shellcode execution. This vulnerability impacts web browsers using WebRTC including but not limited to Google Chrome."	"Apply updates per vendor instructions."	2022-09-15	Unknown,"https://groups.google.com/g/discuss-webrtc/c/5KBtZx2gvcQ;  https://nvd.nist.gov/vuln/detail/CVE-2022-2294",CWE-122
CVE-2022-0028	"Palo Alto Networks"	PAN-OS	"Palo Alto Networks PAN-OS Reflected Amplification Denial-of-Service Vulnerability"	2022-08-22	"A Palo Alto Networks PAN-OS URL filtering policy misconfiguration could allow a network-based attacker to conduct reflected and amplified TCP denial-of-service (RDoS) attacks."	"Apply updates per vendor instructions."	2022-09-12	Unknown	"https://security.paloaltonetworks.com/CVE-2022-0028; https://nvd.nist.gov/vuln/detail/CVE-2022-0028"	CWE-940
CVE-2022-22536	SAP	"Multiple Products"	"SAP Multiple Products HTTP Request Smuggling Vulnerability"	2022-08-18	"SAP NetWeaver Application Server ABAP	 SAP NetWeaver Application Server Java	 ABAP Platform	 SAP Content Server and SAP Web Dispatcher allow HTTP request smuggling. An unauthenticated attacker can prepend a victim's request with arbitrary data	 allowing for function execution impersonating the victim or poisoning intermediary Web caches."	"Apply updates per vendor instructions.",2022-09-08,Unknown,"SAP users must have an account in order to login and access the patch. https://accounts.sap.com/saml2/idp/sso;  https://nvd.nist.gov/vuln/detail/CVE-2022-22536",CWE-444
CVE-2022-32894	Apple	"iOS and macOS"	"Apple iOS and macOS Out-of-Bounds Write Vulnerability"	2022-08-18	"Apple iOS and macOS contain an out-of-bounds write vulnerability that could allow an application to execute code with kernel privileges."	"Apply updates per vendor instructions."	2022-09-08	Unknown	"https://support.apple.com/en-gb/HT213412	 https://support.apple.com/en-gb/HT213413;  https://nvd.nist.gov/vuln/detail/CVE-2022-32894","CWE-20, CWE-787"
CVE-2022-32893	Apple	"iOS and macOS"	"Apple iOS and macOS Out-of-Bounds Write Vulnerability"	2022-08-18	"Apple iOS and macOS contain an out-of-bounds write vulnerability that could allow for remote code execution when processing malicious crafted web content."	"Apply updates per vendor instructions."	2022-09-08	Unknown	"https://support.apple.com/en-gb/HT213412	 https://support.apple.com/en-gb/HT213413;  https://nvd.nist.gov/vuln/detail/CVE-2022-32893","CWE-20, CWE-787"
CVE-2022-2856	Google	"Chromium Intents"	"Google Chromium Intents Insufficient Input Validation Vulnerability"	2022-08-18	"Google Chromium Intents contains an insufficient validation of untrusted input vulnerability that allows a remote attacker to browse to a malicious website via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome	 Microsoft Edge	 and Opera.","Apply updates per vendor instructions.",2022-09-08,Unknown,"https://chromereleases.googleblog.com/2022/08/stable-channel-update-for-desktop_16.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-2856",CWE-20
CVE-2022-26923	Microsoft	"Active Directory"	"Microsoft Active Directory Domain Services Privilege Escalation Vulnerability"	2022-08-18	"An authenticated user could manipulate attributes on computer accounts they own or manage	 and acquire a certificate from Active Directory Certificate Services that would allow for privilege escalation to SYSTEM."	"Apply updates per vendor instructions."	2022-09-08	Unknown	"https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2022-26923;  https://nvd.nist.gov/vuln/detail/CVE-2022-26923",CWE-295
CVE-2022-21971	Microsoft	Windows	"Microsoft Windows Runtime Remote Code Execution Vulnerability"	2022-08-18	"Microsoft Windows Runtime contains an unspecified vulnerability that allows for remote code execution."	"Apply updates per vendor instructions."	2022-09-08	Unknown	"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21971;  https://nvd.nist.gov/vuln/detail/CVE-2022-21971"	CWE-824
CVE-2022-27925	Synacor	"Zimbra Collaboration Suite (ZCS)"	"Synacor Zimbra Collaboration Suite (ZCS) Arbitrary File Upload Vulnerability"	2022-08-11	"Synacor Zimbra Collaboration Suite (ZCS) contains flaw in the mboximport functionality	 allowing an authenticated attacker to upload arbitrary files to perform remote code execution. This vulnerability was chained with CVE-2022-37042 which allows for unauthenticated remote code execution."	"Apply updates per vendor instructions."	2022-09-01	Known	"https://blog.zimbra.com/2022/08/authentication-bypass-in-mailboximportservlet-vulnerability/;  https://nvd.nist.gov/vuln/detail/CVE-2022-27925",CWE-22
CVE-2022-37042	Synacor	"Zimbra Collaboration Suite (ZCS)"	"Synacor Zimbra Collaboration Suite (ZCS) Authentication Bypass Vulnerability"	2022-08-11	"Synacor Zimbra Collaboration Suite (ZCS) contains an authentication bypass vulnerability in MailboxImportServlet. This vulnerability was chained with CVE-2022-27925 which allows for unauthenticated remote code execution."	"Apply updates per vendor instructions."	2022-09-01	Known	"https://blog.zimbra.com/2022/08/authentication-bypass-in-mailboximportservlet-vulnerability/;  https://nvd.nist.gov/vuln/detail/CVE-2022-37042"	CWE-23
CVE-2022-34713	Microsoft	Windows	"Microsoft Windows Support Diagnostic Tool (MSDT) Remote Code Execution Vulnerability"	2022-08-09	"A remote code execution vulnerability exists when Microsoft Windows MSDT is called using the URL protocol from a calling application."	"Apply updates per vendor instructions."	2022-08-30	Unknown	"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-34713;  https://nvd.nist.gov/vuln/detail/CVE-2022-34713"	
CVE-2022-30333	RARLAB	UnRAR	"RARLAB UnRAR Directory Traversal Vulnerability"	2022-08-09	"RARLAB UnRAR on Linux and UNIX contains a directory traversal vulnerability	 allowing an attacker to write to files during an extract (unpack) operation."	"Apply updates per vendor instructions."	2022-08-30	Unknown	"Vulnerability updated with version 6.12. Accessing link will download update information: https://www.rarlab.com/rar/rarlinux-x32-612.tar.gz;  https://nvd.nist.gov/vuln/detail/CVE-2022-30333","CWE-22, CWE-59"
CVE-2022-27924	Synacor	"Zimbra Collaboration Suite (ZCS)"	"Synacor Zimbra Collaboration Suite (ZCS) Command Injection Vulnerability"	2022-08-04	"Synacor Zimbra Collaboration Suite (ZCS) allows an attacker to inject memcache commands into a targeted instance which causes an overwrite of arbitrary cached entries."	"Apply updates per vendor instructions."	2022-08-25	Unknown	"https://wiki.zimbra.com/wiki/Zimbra_Releases/9.0.0/P24.1#Security_Fixes;  https://nvd.nist.gov/vuln/detail/CVE-2022-27924"	CWE-93
CVE-2022-26138	Atlassian	Confluence	"Atlassian Questions For Confluence App Hard-coded Credentials Vulnerability"	2022-07-29	"Atlassian Questions For Confluence App has hard-coded credentials	 exposing the username and password in plaintext. A remote unauthenticated attacker can use these credentials to log into Confluence and access all content accessible to users in the confluence-users group."	"Apply updates per vendor instructions."	2022-08-19	Unknown	"https://confluence.atlassian.com/doc/questions-for-confluence-security-advisory-2022-07-20-1142446709.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-26138",CWE-798
CVE-2022-22047	Microsoft	Windows	"Microsoft Windows Client Server Runtime Subsystem (CSRSS) Privilege Escalation Vulnerability"	2022-07-12	"Microsoft Windows CSRSS contains an unspecified vulnerability that allows for privilege escalation to SYSTEM privileges."	"Apply updates per vendor instructions."	2022-08-02	Unknown	"https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-22047;  https://nvd.nist.gov/vuln/detail/CVE-2022-22047"	CWE-426
CVE-2022-26925	Microsoft	Windows	"Microsoft Windows LSA Spoofing Vulnerability"	2022-07-01	"Microsoft Windows Local Security Authority (LSA) contains a spoofing vulnerability where an attacker can coerce the domain controller to authenticate to the attacker using NTLM."	"Apply remediation actions outlined in CISA guidance [https://www.cisa.gov/guidance-applying-june-microsoft-patch]."	2022-07-22	Unknown	"WARNING: This update is required on all Microsoft Windows endpoints but if deployed to domain controllers without additional configuration changes the update breaks PIV/CAC authentication. Read CISA implementation guidance carefully before deploying to domain controllers.;  https://nvd.nist.gov/vuln/detail/CVE-2022-26925"	CWE-306
CVE-2022-29499	Mitel	"MiVoice Connect"	"Mitel MiVoice Connect Data Validation Vulnerability"	2022-06-27	"The Service Appliance component in Mitel MiVoice Connect allows remote code execution due to incorrect data validation."	"Apply updates per vendor instructions."	2022-07-18	Known	https://nvd.nist.gov/vuln/detail/CVE-2022-29499	CWE-20
CVE-2022-30190	Microsoft	Windows	"Microsoft Windows Support Diagnostic Tool (MSDT) Remote Code Execution Vulnerability"	2022-06-14	"A remote code execution vulnerability exists when MSDT is called using the URL protocol from a calling application such as Word. An attacker who successfully exploits this vulnerability can run code with the privileges of the calling application."	"Apply updates per vendor instructions."	2022-07-05	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-30190	CWE-610
CVE-2022-26134	Atlassian	"Confluence Server/Data Center"	"Atlassian Confluence Server and Data Center Remote Code Execution Vulnerability"	2022-06-02	"Atlassian Confluence Server and Data Center contain a remote code execution vulnerability that allows for an unauthenticated attacker to perform remote code execution."	"Immediately block all internet traffic to and from affected products AND apply the update per vendor instructions [https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html] OR remove the affected products by the due date on the right. Note: Once the update is successfully deployed	 agencies can reassess the internet blocking rules."	2022-06-06	Known	https://nvd.nist.gov/vuln/detail/CVE-2022-26134,CWE-917
CVE-2022-20821	Cisco	"IOS XR"	"Cisco IOS XR Open Port Vulnerability"	2022-05-23	"Cisco IOS XR software health check opens TCP port 6379 by default on activation. An attacker can connect to the Redis instance on the open port and allow access to the Redis instance that is running within the NOSi container."	"Apply updates per vendor instructions."	2022-06-13	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-20821	CWE-923
CVE-2022-30525	Zyxel	"Multiple Firewalls"	"Zyxel Multiple Firewalls OS Command Injection Vulnerability"	2022-05-16	"A command injection vulnerability in the CGI program of some Zyxel firewall versions could allow an attacker to modify specific files and then execute some OS commands on a vulnerable device."	"Apply updates per vendor instructions."	2022-06-06	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-30525	CWE-78
CVE-2022-22947	VMware	"Spring Cloud Gateway"	"VMware Spring Cloud Gateway Code Injection Vulnerability"	2022-05-16	"Spring Cloud Gateway applications are vulnerable to a code injection attack when the Gateway Actuator endpoint is enabled	 exposed and unsecured."	"Apply updates per vendor instructions."	2022-06-06	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-22947,CWE-94
CVE-2022-1388	F5	BIG-IP	"F5 BIG-IP Missing Authentication Vulnerability"	2022-05-10	"F5 BIG-IP contains a missing authentication in critical function vulnerability which can allow for remote code execution	 creation or deletion of files	 or disabling services."	"Apply updates per vendor instructions."	2022-05-31	Known,https://nvd.nist.gov/vuln/detail/CVE-2022-1388,CWE-306
CVE-2022-29464	WSO2	"Multiple Products"	"WSO2 Multiple Products Unrestrictive Upload of File Vulnerability"	2022-04-25	"Multiple WSO2 products allow for unrestricted file upload	 resulting in remote code execution."	"Apply updates per vendor instructions."	2022-05-16	Known	https://nvd.nist.gov/vuln/detail/CVE-2022-29464,CWE-22
CVE-2022-26904	Microsoft	Windows	"Microsoft Windows User Profile Service Privilege Escalation Vulnerability"	2022-04-25	"Microsoft Windows User Profile Service contains an unspecified vulnerability that allows for privilege escalation."	"Apply updates per vendor instructions."	2022-05-16	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-26904	CWE-362
CVE-2022-21919	Microsoft	Windows	"Microsoft Windows User Profile Service Privilege Escalation Vulnerability"	2022-04-25	"Microsoft Windows User Profile Service contains an unspecified vulnerability that allows for privilege escalation."	"Apply updates per vendor instructions."	2022-05-16	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-21919	CWE-1386
CVE-2022-0847	Linux	Kernel	"Linux Kernel Privilege Escalation Vulnerability"	2022-04-25	"Linux kernel contains an improper initialization vulnerability where an unprivileged local user could escalate their privileges on the system. This vulnerability has the moniker of ""Dirty Pipe."""	"Apply updates per vendor instructions."	2022-05-16	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-0847	CWE-665
CVE-2022-22718	Microsoft	Windows	"Microsoft Windows Print Spooler Privilege Escalation Vulnerability"	2022-04-19	"Microsoft Windows Print Spooler contains an unspecified vulnerability which allow for privilege escalation."	"Apply updates per vendor instructions."	2022-05-10	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-22718	
CVE-2022-22960	VMware	"Multiple Products"	"VMware Multiple Products Privilege Escalation Vulnerability"	2022-04-15	"VMware Workspace ONE Access	 Identity Manager and vRealize Automation contain a privilege escalation vulnerability due to improper permissions in support scripts."	"Apply updates per vendor instructions."	2022-05-06	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-22960,CWE-250
CVE-2022-1364	Google	"Chromium V8"	"Google Chromium V8 Type Confusion Vulnerability"	2022-04-15	"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome	 Microsoft Edge	 and Opera.","Apply updates per vendor instructions.",2022-05-06,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-1364,CWE-843
CVE-2022-22954	VMware	"Workspace ONE Access and Identity Manager"	"VMware Workspace ONE Access and Identity Manager Server-Side Template Injection Vulnerability"	2022-04-14	"VMware Workspace ONE Access and Identity Manager allow for remote code execution due to server-side template injection."	"Apply updates per vendor instructions."	2022-05-05	Known	https://nvd.nist.gov/vuln/detail/CVE-2022-22954	CWE-94
CVE-2022-24521	Microsoft	Windows	"Microsoft Windows CLFS Driver Privilege Escalation Vulnerability"	2022-04-13	"Microsoft Windows Common Log File System (CLFS) Driver contains an unspecified vulnerability that allows for privilege escalation."	"Apply updates per vendor instructions."	2022-05-04	Known	https://nvd.nist.gov/vuln/detail/CVE-2022-24521	"CWE-787, CWE-1285"
CVE-2022-23176	WatchGuard	"Firebox and XTM"	"WatchGuard Firebox and XTM Privilege Escalation Vulnerability"	2022-04-11	"WatchGuard Firebox and XTM appliances allow a remote attacker with unprivileged credentials to access the system with a privileged management session via exposed management access."	"Apply updates per vendor instructions."	2022-05-02	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-23176	
CVE-2022-22965	VMware	"Spring Framework"	"Spring Framework JDK 9+ Remote Code Execution Vulnerability"	2022-04-04	"Spring MVC or Spring WebFlux application running on JDK 9+ may be vulnerable to remote code execution (RCE) via data binding."	"Apply updates per vendor instructions."	2022-04-25	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-22965	CWE-94
CVE-2022-22675	Apple	macOS	"Apple macOS Out-of-Bounds Write Vulnerability"	2022-04-04	"macOS Monterey contains an out-of-bounds write vulnerability that could allow an application to execute arbitrary code with kernel privileges."	"Apply updates per vendor instructions."	2022-04-25	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-22675	"CWE-20, CWE-125"
CVE-2022-22674	Apple	macOS	"Apple macOS Out-of-Bounds Read Vulnerability"	2022-04-04	"macOS Monterey contains an out-of-bounds read vulnerability that could allow an application to read kernel memory."	"Apply updates per vendor instructions."	2022-04-25	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-22674	"CWE-20, CWE-125"
CVE-2022-26871	"Trend Micro"	"Apex Central"	"Trend Micro Apex Central Arbitrary File Upload Vulnerability"	2022-03-31	"An arbitrary file upload vulnerability in Trend Micro Apex Central could allow for remote code execution."	"Apply updates per vendor instructions."	2022-04-21	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-26871	CWE-184
CVE-2022-1040	Sophos	Firewall	"Sophos Firewall Authentication Bypass Vulnerability"	2022-03-31	"An authentication bypass vulnerability in User Portal and Webadmin of Sophos Firewall allows for remote code execution."	"Apply updates per vendor instructions."	2022-04-21	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-1040	CWE-158
CVE-2022-1096	Google	"Chromium V8"	"Google Chromium V8 Type Confusion Vulnerability"	2022-03-28	"Google Chromium V8 Engine contains a type confusion vulnerability that allows a remote attacker to potentially exploit heap corruption via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium	 including	 but not limited to	 Google Chrome	 Microsoft Edge	 and Opera.","Apply updates per vendor instructions.",2022-04-18,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-1096,CWE-843
CVE-2022-0543	Redis	"Debian-specific Redis Servers"	"Debian-specific Redis Server Lua Sandbox Escape Vulnerability"	2022-03-28	"Redis is prone to a (Debian-specific) Lua sandbox escape	 which could result in remote code execution."	"Apply updates per vendor instructions."	2022-04-18	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-0543,CWE-862
CVE-2022-26318	WatchGuard	"Firebox and XTM Appliances"	"WatchGuard Firebox and XTM Appliances Arbitrary Code Execution"	2022-03-25	"On WatchGuard Firebox and XTM appliances	 an unauthenticated user can execute arbitrary code."	"Apply updates per vendor instructions."	2022-04-15	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-26318,CWE-122
CVE-2022-26143	Mitel	"MiCollab	 MiVoice Business Express"	"MiCollab	 MiVoice Business Express Access Control Vulnerability"	2022-03-25	"A vulnerability has been identified in MiCollab and MiVoice Business Express that may allow a malicious actor to gain unauthorized access to sensitive information and services	 cause performance degradations or a denial of service condition on the affected system."	"Apply updates per vendor instructions."	2022-04-15,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-26143,"CWE-306, CWE-406"
CVE-2022-21999	Microsoft	Windows	"Microsoft Windows Print Spooler Privilege Escalation Vulnerability"	2022-03-25	"Microsoft Windows Print Spooler contains an unspecified vulnerability which can allow for privilege escalation."	"Apply updates per vendor instructions."	2022-04-15	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-21999	"CWE-40, CWE-1386"
CVE-2022-26486	Mozilla	Firefox	"Mozilla Firefox Use-After-Free Vulnerability"	2022-03-07	"Mozilla Firefox contains a use-after-free vulnerability in WebGPU IPC Framework which can be exploited to perform arbitrary code execution."	"Apply updates per vendor instructions."	2022-03-21	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-26486	CWE-416
CVE-2022-26485	Mozilla	Firefox	"Mozilla Firefox Use-After-Free Vulnerability"	2022-03-07	"Mozilla Firefox contains a use-after-free vulnerability in XSLT parameter processing which can be exploited to perform arbitrary code execution."	"Apply updates per vendor instructions."	2022-03-21	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-26485	CWE-416
CVE-2022-20708	Cisco	"Small Business RV160	 RV260	 RV340	 and RV345 Series Routers"	"Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability"	2022-03-03	"A vulnerability in Cisco Small Business RV160	 RV260	 RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).","Apply updates per vendor instructions.",2022-03-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-20708,CWE-121
CVE-2022-20703	Cisco	"Small Business RV160	 RV260	 RV340	 and RV345 Series Routers"	"Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability"	2022-03-03	"A vulnerability in Cisco Small Business RV160	 RV260	 RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).","Apply updates per vendor instructions.",2022-03-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-20703,CWE-347
CVE-2022-20701	Cisco	"Small Business RV160	 RV260	 RV340	 and RV345 Series Routers"	"Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability"	2022-03-03	"A vulnerability in Cisco Small Business RV160	 RV260	 RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).","Apply updates per vendor instructions.",2022-03-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-20701,CWE-121
CVE-2022-20700	Cisco	"Small Business RV160	 RV260	 RV340	 and RV345 Series Routers"	"Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability"	2022-03-03	"A vulnerability in Cisco Small Business RV160	 RV260	 RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).","Apply updates per vendor instructions.",2022-03-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-20700,CWE-121
CVE-2022-20699	Cisco	"Small Business RV160	 RV260	 RV340	 and RV345 Series Routers"	"Cisco Small Business RV Series Routers Stack-based Buffer Overflow Vulnerability"	2022-03-03	"A vulnerability in Cisco Small Business RV160	 RV260	 RV340, and RV345 Series Routers could allow an attacker to do any of the following: Execute arbitrary code elevate privileges, execute arbitrary commands, bypass authentication and authorization protections, fetch and run unsigned software, or cause a denial of service (DoS).","Apply updates per vendor instructions.",2022-03-17,Unknown,https://nvd.nist.gov/vuln/detail/CVE-2022-20699,CWE-785
CVE-2022-24682	Synacor	"Zimbra Collaborate Suite (ZCS)"	"Synacor Zimbra Collaborate Suite (ZCS) Cross-Site Scripting Vulnerability"	2022-02-25	"Synacor Zimbra Collaboration Suite (ZCS) contains a cross-site scripting (XSS) vulnerability in the Calendar feature that allows an attacker to execute arbitrary code."	"Apply updates per vendor instructions."	2022-03-11	Known	https://nvd.nist.gov/vuln/detail/CVE-2022-24682	"CWE-79, CWE-116"
CVE-2022-23131	Zabbix	Frontend	"Zabbix Frontend Authentication Bypass Vulnerability"	2022-02-22	"Unsafe client-side session storage leading to authentication bypass/instance takeover via Zabbix Frontend with configured SAML."	"Apply updates per vendor instructions."	2022-03-08	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-23131	CWE-290
CVE-2022-23134	Zabbix	Frontend	"Zabbix Frontend Improper Access Control Vulnerability"	2022-02-22	"Malicious actors can pass step checks and potentially change the configuration of Zabbix Frontend."	"Apply updates per vendor instructions."	2022-03-08	Unknown	https://nvd.nist.gov/vuln/detail/CVE-2022-23134	CWE-284
